x,y,vn_kv,bus_id,lines
-85.036541315,33.4072087540001,500,bus_-85.036541315_33.4072087540001_500,['115581']
-85.030620896,33.4112409800001,500,bus_-85.030620896_33.4112409800001_500,"['149886', '180019', '115581']"
-84.9637979999999,35.0367008000001,500,bus_-84.9637979999999_35.0367008000001_500,['130688']
-84.922402,34.12149,500,bus_-84.922402_34.12149_500,"['129643', '136771', '120959', '123725', '135692']"
-84.91585,32.610419,500,bus_-84.91585_32.610419_500,['125525']
-84.9081879999999,34.703138,500,bus_-84.9081879999999_34.703138_500,"['130688', '129415']"
-84.905481557,33.351588066,500,bus_-84.905481557_33.351588066_500,"['179725', '180019']"
-84.8828079529999,34.38450512,500,bus_-84.8828079529999_34.38450512_500,"['123725', '129415', '131252']"
-84.856345539,33.7407280740001,500,bus_-84.856345539_33.7407280740001_500,"['149886', '129643', '134119', '132137', '135692']"
-84.56829755,33.9941730620001,500,bus_-84.56829755_33.9941730620001_500,"['120959', '102708', '136771']"
-84.5094759409999,33.553044421,500,bus_-84.5094759409999_33.553044421_500,"['134119', '132137', '134145']"
-84.379014,33.966887,500,bus_-84.379014_33.966887_500,"['102708', '115016']"
-84.36726695,33.4820237920001,500,bus_-84.36726695_33.4820237920001_500,"['179725', '115182', '134145', '136257']"
-84.337395854,34.326964897,500,bus_-84.337395854_34.326964897_500,['131252']
-84.2137904479999,33.9324796670001,500,bus_-84.2137904479999_33.9324796670001_500,"['115016', '127368', '117642']"
-84.12644803,33.638013416,500,bus_-84.12644803_33.638013416_500,"['115182', '128650', '117642']"
-84.107109,31.368256,500,bus_-84.107109_31.368256_500,['120596']
-83.812840872,33.0606335040001,500,bus_-83.812840872_33.0606335040001_500,"['133969', '136257', '128650', '150685']"
-83.802844454,34.2192078850001,500,bus_-83.802844454_34.2192078850001_500,['127368']
-83.599589737,32.5650738590001,500,bus_-83.599589737_32.5650738590001_500,"['119668', '150685']"
-83.548801187,31.4764722240001,500,bus_-83.548801187_31.4764722240001_500,"['136742', '125525', '120596']"
-82.859392,33.119922,500,bus_-82.859392_33.119922_500,"['133969', '136231', '124384']"
-82.412784577,33.4526355260001,500,bus_-82.412784577_33.4526355260001_500,"['136231', '157218']"
-82.347622,31.934082,500,bus_-82.347622_31.934082_500,"['126942', '119668', '136742', '144799']"
-82.345245457,31.9335248560001,500,bus_-82.345245457_31.9335248560001_500,['144799']
-82.343791298,31.932667344,500,bus_-82.343791298_31.932667344_500,"['149459', '126942']"
-81.769517,33.145039,500,bus_-81.769517_33.145039_500,"['120927', '124384']"
-81.762670005,33.145515689,500,bus_-81.762670005_33.145515689_500,['157218']
-81.6808828639999,31.293497834,500,bus_-81.6808828639999_31.293497834_500,['149459']
-81.180669529,32.353683989,500,bus_-81.180669529_32.353683989_500,['120927']
